2023-05-01 15:29:48.201 | DEBUG    | __main__:start_game:24 - Starting...
2023-05-01 15:29:55.069 | DEBUG    | __main__:start_game:24 - Starting...
2023-05-01 15:29:59.958 | DEBUG    | __main__:start_game:24 - Starting...
2023-05-01 15:30:04.530 | DEBUG    | __main__:start_game:24 - Starting...
2023-05-01 15:30:08.611 | DEBUG    | __main__:start_game:24 - Starting...
2023-05-01 15:30:11.984 | DEBUG    | __main__:start_game:24 - Starting...
2023-05-01 15:30:17.032 | DEBUG    | __main__:start_game:24 - Starting...
2023-05-01 15:30:21.535 | DEBUG    | __main__:start_game:24 - Starting...
2023-05-01 15:30:26.282 | DEBUG    | __main__:start_game:24 - Starting...
2023-05-01 15:30:33.008 | DEBUG    | __main__:start_game:24 - Starting...
2023-05-01 15:30:39.839 | DEBUG    | __main__:start_game:24 - Starting...
2023-05-01 15:30:44.374 | DEBUG    | __main__:start_game:24 - Starting...
2023-05-01 15:30:45.827 | DEBUG    | __main__:start_game:24 - Starting...
2023-05-01 15:30:47.117 | DEBUG    | __main__:start_game:24 - Starting...
2023-05-01 15:30:50.414 | DEBUG    | __main__:start_game:24 - Starting...
2023-05-01 15:30:54.519 | DEBUG    | __main__:start_game:24 - Starting...
2023-05-01 15:30:59.120 | DEBUG    | __main__:start_game:24 - Starting...
2023-05-01 15:31:07.517 | DEBUG    | __main__:start_game:24 - Starting...
2023-05-01 15:31:14.049 | DEBUG    | __main__:start_game:24 - Starting...
2023-05-01 15:31:21.067 | DEBUG    | __main__:start_game:24 - Starting...
2023-05-01 15:31:26.384 | DEBUG    | __main__:start_game:24 - Starting...
2023-05-01 15:31:27.833 | DEBUG    | __main__:start_game:24 - Starting...
2023-05-01 15:31:34.847 | DEBUG    | __main__:start_game:24 - Starting...
2023-05-01 15:31:39.261 | DEBUG    | __main__:start_game:24 - Starting...
2023-05-01 15:31:43.087 | DEBUG    | __main__:start_game:24 - Starting...
2023-05-01 15:31:45.320 | DEBUG    | __main__:start_game:24 - Starting...
2023-05-01 15:31:48.634 | DEBUG    | __main__:start_game:24 - Starting...
2023-05-01 15:31:50.949 | DEBUG    | __main__:start_game:24 - Starting...
2023-05-01 15:31:52.604 | DEBUG    | __main__:start_game:24 - Starting...
2023-05-01 15:31:54.823 | DEBUG    | __main__:start_game:24 - Starting...
2023-05-01 15:31:56.072 | DEBUG    | __main__:start_game:24 - Starting...
2023-05-01 15:31:57.029 | DEBUG    | __main__:start_game:24 - Starting...
2023-05-01 15:31:59.923 | DEBUG    | __main__:start_game:24 - Starting...
2023-05-01 15:32:01.249 | DEBUG    | __main__:start_game:24 - Starting...
2023-05-01 15:32:04.515 | DEBUG    | __main__:start_game:24 - Starting...
2023-05-01 15:32:07.711 | DEBUG    | __main__:start_game:24 - Starting...
2023-05-01 15:32:10.675 | DEBUG    | __main__:start_game:24 - Starting...
2023-05-01 15:32:14.997 | DEBUG    | __main__:start_game:24 - Starting...
2023-05-01 15:32:16.119 | DEBUG    | __main__:start_game:24 - Starting...
2023-05-01 15:32:22.442 | DEBUG    | __main__:start_game:24 - Starting...
